Status,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200,V201,V202,V203,V204,V205,V206,V207,V208,V209,V210,V211,V212,V213,V214,V215,V216,V217,V218,V219,V220,V221,V222,V223,V224,V225,V226,V227,V228,V229,V230,V231,V232,V233,V234,V235,V236,V237,V238,V239,V240,V241,V242,V243,V244,V245,V246,V247,V248,V249,V250,V251,V252,V253,V254,V255,V256,V257,V258,V259,V260
CD,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,27,0,0,0,0,7,3,0,0,0,1,0,0,21,93,0,0,0,0,0,0,0,0,0,0,357,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,4,32,0,30,0,1,3415,3,0,3067,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,1,0,0,0,16,0,0,0,0,0,0,36,0,0,0,656,68,0,0,0,0,0,0,0,2,0,91,19,0,4,3793,1,91,0,0,0,0,0,0,0,0,0,0,0,0,0
CD,0,0,0,0,18,0,0,1,0,0,0,0,0,0,4,0,0,0,0,427,0,0,0,3,0,0,0,264,0,1,0,0,0,0,0,2426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,3,1,0,0,0,0,0,0,0,0,12,28,0,0,1,0,0,0,1,0,0,360,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,148,3,1003,0,1095,0,0,8,0,0,0,0,0,1164,0,0,0,1,0,0,9,163,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,22,0,0,0,0,570,0,0,98,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,0,2553,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,0,1,0,2,46,0,0,18,0,4,0,0,0,0,0,1326,18,0,1,0,1,20,2,0,0,0,0,0,4,0,19,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,454,0,23,0,0,19,0,0,0,0,0,0,0,0,4,1,0,0,3,0,0,0,1,13,0,0,727,215,1032,0,146,40,652,532,0,0,0,0,0,282,0,0,0,0,0,0,5,1045,0,0,0,0,0,52,0,0,451,0,0,3,1,23,0,107,0,2996,50,375,0,0,0,3,0,0,20,1552,0,0,98,85,0,0,4,16,2,2,0,19,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,6,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,5,0,0,0,0,0,0,0,3371,0,0,0,0,0,7,1,0,0,0,0,0,1,0,55,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,4,0,0,0,8,0,0,331,1,310,0,344,12,57,140,0,0,0,0,0,308,2,0,0,1,0,0,1,2,0,0,0,8,0,0,0,0,5,0,0,0,0,15,0,0,0,879,11,0,0,0,0,0,0,0,1,0,0,0,0,49,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,7,0,0,2,0,0,0,0,0,0,6,0,1,0,1604,0,449,152,0,122,5,0,0,8,1325,0,0,2781,0,239,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,11,96,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,927,642,0,99,120,143,299,2,0,0,0,0,32,0,0,0,0,0,0,137,236,0,0,0,0,0,5,0,0,585,15,0,1,2,39,0,34,0,1579,8,70,0,53,0,8,153,27,67,139,0,0,79,6,0,0,292,8,0,0,0,0,0,0,0,4,0,0,273,0,0,0,0,8,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,277,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD,0,0,0,0,16,0,0,6,0,0,0,0,0,0,2,0,0,0,0,2185,1,0,0,6,548,0,0,12,0,0,0,0,0,14,0,2410,330,0,5,0,2,139,1,0,0,0,0,125,2,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,5,15,120,0,0,317,0,1905,0,1,0,9,568,0,2,2,0,1152,0,0,0,0,0,15,2,0,4,21,0,0,0,0,0,0,0,0,0,0,16,0,561,0,11,0,0,0,10,0,2,0,0,27,0,0,3,0,0,0,33,3,0,0,0,0,1,240,3,0,11,0,0,0,0,0,0,0,0,930,2,6,0,1,0,0,0,0,0,0,0,0,0,17,0,0,1,0,2,59,1,28,0,0,0,0,0,0,2,0,0,95,0,55,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,863,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,13,2,0,0,0,0,51,0,3,0,0,0,0,0,2345,0,0,0,0,457,0,0,0,0,0,0,0,0,0,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,0,9,0,0,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1014,110,549,0,196,31,405,317,7,0,0,0,0,299,0,0,0,0,0,0,1307,393,0,0,0,0,0,436,0,0,555,0,0,0,0,7,0,241,0,4626,123,354,0,56,0,2,194,1,24,593,0,0,36,47,6,0,75,32,0,0,0,0,0,0,0,0,0,0,651,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1177,2,4,0,6285,6,6,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1683,0,13,0,2,167,0,0,13,0,4,0,6,0,0,1,460,0,0,0,0,2,1,0,0,0,0,0,0,0,0,141,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,304,0,106,0,0,1,0,0,0,0,0,2,0,0,0,2,0,2,19,0,0,0,1,0,0,0,83,693,1939,0,16,8,209,396,17,0,0,0,0,136,5,0,0,0,0,0,136,27,0,0,0,0,0,81,0,0,524,6,0,0,0,2,0,383,0,1835,2,0,0,5,0,11,33,7,42,430,0,0,28,23,0,0,67,4,0,5,0,0,47,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD,406,0,2,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,713,0,13,0,0,134,0,0,27,0,5,2,0,0,0,0,186,0,0,0,0,4,0,3,0,0,0,0,0,2,0,100,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,40,13,2282,0,1,14,0,0,0,0,0,0,0,0,3,0,0,5,4,20,2,0,2,73,3,0,499,202,742,0,132,14,316,158,0,0,0,0,0,349,1,0,1,0,0,0,847,214,0,0,0,120,0,149,0,0,939,2,0,1,2,18,8,203,0,1051,0,964,0,29,0,15,1012,14,217,699,0,0,53,460,6,0,26,38,5,14,0,0,8,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162
nonIBD,0,0,0,0,12,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1085,0,8,0,0,416,0,0,199,0,5,0,0,0,0,0,128,0,3,0,0,2,8,0,0,0,0,0,13,0,0,31,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,1,2,0,0,0,0,0,0,3,3,0,0,0,0,0,0,5,0,0,11,730,1,148,0,0,4,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,3,21,1,0,978,126,5056,0,75,8,351,1335,24,41,0,1,0,841,1,0,0,0,0,0,1510,600,0,0,0,0,3,144,0,0,755,0,0,0,0,10,9,1164,0,926,11,3651,0,10,0,11,2195,35,430,2025,0,0,108,135,0,0,57,9,0,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD,0,0,0,0,92,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,2,0,0,17,0,1,0,0,1,3,1,0,0,3,0,0,1,13,1417,1,0,312,0,295,0,0,1,45,5588,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,14,0,0,691,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,194,0,522,0,203,2,0,0,0,0,0,8,0,30,4,0,0,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD,0,0,2,0,18,0,0,3,0,0,0,0,0,0,5,0,0,0,0,8,0,134,0,0,549,0,0,14,0,7,0,0,0,0,0,191,0,0,0,0,1,0,2,0,0,0,0,0,672,21,60,0,0,0,0,0,211,0,0,0,0,0,6,0,0,0,2,0,4,0,0,0,0,0,0,1,7,1,0,0,2,0,0,0,2,0,0,13474,50,680,0,0,0,0,0,0,2,0,0,0,0,0,1,0,4,53,2,0,0,0,25,0,0,1772,31,9165,0,470,119,1310,2010,19,0,0,0,0,867,2,0,0,0,0,0,1529,1823,0,0,0,0,0,49,2,0,2324,7,0,0,4,361,0,632,0,5087,14,8354,0,21,0,14,8286,73,51,926,0,0,49,12,0,0,10,11,1,0,0,0,92,0,0,0,0,0,2,38,0,0,0,11,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,5,0,0,155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23
CD,242,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,108,0,3,0,0,0,0,0,10359,161,2,0,0,274,66,821,0,0,0,0,0,81,0,1324,0,0,0,0,0,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,91,0,0,5,0,0,0,0,0,0,0,0,0,0,0,18,20,4,0,0,0,4,0,0,202,39,98,0,540,143,148,203,2,0,0,0,0,222,2,0,0,0,0,2,0,235,0,0,0,3,1,58,49,0,929,2,0,3,0,19,0,67,0,546,11,55,0,1537,0,17,0,22,64,144,0,0,7,3,0,0,31,23,1,25,15,146,1,0,0,0,0,0,0,0,0,1,0,57,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD,0,0,0,0,30,0,0,17,0,0,0,0,0,0,8,0,0,0,0,2043,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5224,2,0,0,0,0,0,0,12,18,0,0,0,7,0,64,4,1,0,26,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD,0,0,0,0,3,0,0,16,0,0,0,0,0,0,2,0,0,0,0,380,0,0,0,0,531,0,0,52,0,2,0,0,0,0,0,10447,6,811,0,0,183,393,0,0,0,0,0,0,0,0,1904,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,3,6,0,0,0,0,0,0,47,0,0,1290,0,46,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,1,0,0,0,26,0,0,991,246,779,0,1241,381,348,16,0,0,0,0,0,765,2,0,0,0,0,0,64,485,0,0,0,0,0,592,0,0,1099,0,0,1,1,8,0,52,0,3848,218,978,0,469,0,0,0,8,17,486,0,0,31,143,0,0,42,0,0,0,0,0,536,0,0,0,0,0,487,0,6,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170,0,0,0,0,0,6,112,0,0,0,0,0,0,0,0,9,0,1,0,43,0,1,0,0,21,0,3,0,0,0,9,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD,0,0,0,0,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,0,0,0,14,3,0,0,3,0,0,0,0,0,0,0,1111,0,0,0,0,2,66,4,0,0,0,0,0,0,0,38,0,0,0,2,0,0,0,0,0,0,0,45,0,0,0,0,1,0,0,0,0,3,0,0,5,32,0,0,0,0,0,0,0,0,0,0,215,0,4,0,0,12,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,91,1,59,0,181,23,11,24,0,0,2,0,0,75,0,0,4,6,0,0,23,43,0,1,0,0,15,875,1,0,28,1,0,0,1,0,0,1,0,663,7,22,0,6,0,0,1,5,1,146,0,0,7,6,0,0,1,1,5,0,0,0,0,0,0,0,2,0,4,0,3,0,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,789,0,0,0,0,0,0,0,0,36,3,2,6,2584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
CD,0,0,0,0,26,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,84,0,0,0,0,16,0,10,0,0,0,0,0,1,25,27,2,0,48,0,0,0,0,0,1,104,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,14,0,0,0,0,0,0,6,131,31,0,7,8,0,21,0,0,0,0,0,296,0,0,0,0,0,0,0,422,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,20,0,2,0,0,0,210,0,9,0,3,0,20,0,6967,0,0,0,0,0,1,0,0,0,0,0,0,3,661,5,0,0,0,0,0,2,0,0,0,0,0,16,0,0,0,0,1,1,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,33,2,105,0,32,1,0,0,0,0,0,17,1,0,1,90,0,0,0,1,0,0,0,12,0,0,264,21,575,0,1366,1173,1,36,0,0,0,0,0,601,5,0,0,0,0,0,0,919,0,0,0,291,0,155,13,0,2326,1195,0,0,107,16,0,299,5,557,350,1,0,197,0,60,30,59,116,3,0,0,0,265,0,0,133,0,0,2,0,0,0,0,0,0,0,0,182,0,0,0,0,9,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,1,3,0,0,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1752,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,87,0,219,0,0,0,0,97,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,268,943,0,161,0,0,35,0,0,0,0,0,1070,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,8,0,0,0,0,3,0,0,0,2004,26,0,0,1,0,0,0,0,1,0,0,0,0,129,1,0,69,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,185,0,67,0,1,167,0,0,0,0,0,0,27,0,0,0,3594,2,72,28,0,7,75,0,0,0,0,0,0,1,0,67,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,748,0,31,0,0,422,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1279,405,571,0,1017,18,789,147,66,0,1,0,0,386,0,0,0,10,0,0,0,1158,0,0,0,0,0,313,0,0,34,0,0,0,0,8,0,5,0,5917,37,1063,0,113,0,0,0,9,0,23,0,0,1,1211,0,0,18,0,0,348,0,0,0,0,3,0,0,0,858,0,1,0,0,40,0,0,0,0,0,0,0,0,0,0,20,0,7,0,0,0,0,0,0,0,0,0,388,1019,0,0,0,0,0,48,28,0,0,0,0,0,0,0,0,0,3,0,0,0,227,0,0,3,0,0,0,0,0,7,26,0,0,924,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8818,0,4,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,14,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
